,job_title,company,location,duration,stipend,skills,perks
69,Machine Learning,Street Surge Technologies,Gurgaon,3 Months,"₹ 15,000 /month","['Data Analytics', 'Machine Learning', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Job offer']"
70,Credit Analyst,PRM Fincon Services Private Limited,Kolkata,4 Months,"₹ 10,000 /month","['Accounting', 'Effective Communication', 'MS-Excel']",['Certificate']
71,Data Analytics,A2A Optima,Bangalore,3 Months,"₹ 10,000 /month","['Data Analytics', 'Data Science', 'MS-Excel', 'Power BI', 'Python', 'Tableau']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week']"
72,Artificial Intelligence (AI),Digipplus,Work from home,3 Months,"₹ 12,000-15,000 /month","['Artificial Intelligence', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
73,Associate - Founders Office,ReachInbox.ai,Bangalore,6 Months,"₹ 20,000 /month","['Business Research', 'Data Analytics', 'Report Writing']",[]
74,Data Science,Inorbvict Healthcare India Private Limited,Pune,3 Months,"₹ 6,000 /month","['Data Analytics', 'Data Science', 'Machine Learning', 'Python', 'SQL']","['Certificate', 'Letter of recommendation']"
75,Content Moderation,"Findmate (Las Vegas, United States)",Work from home,,$ 100 /month,"['English Proficiency (Spoken)', 'English Proficiency (Written)']","['Letter of recommendation', 'Flexible work hours']"
76,Data Analytics,SuperTails,Bangalore,3 Months,"₹ 15,000 /month","['Data Analytics', 'MS-Excel', 'Python', 'SQL', 'Tableau']","['Certificate', 'Informal dress code']"
77,Business Analyst,Visdum Tech Private Limited,Noida,3 Months,"₹ 15,000 /month","['Advanced Excel', 'Effective Communication', 'Mathematics', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week']"
78,Data Analytics,SmartCookie,Pune,6 Months,"₹ 2,000 /month","['Data Analytics', 'Data Science', 'MS-Excel', 'Power BI', 'Python', 'SQL', 'Tableau']","['Certificate', 'Flexible work hours', 'Informal dress code']"
79,Machine Learning,Buddha Education Association Incorporation,Work from home,2 Months,"₹ 18,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']","['Certificate', 'Letter of recommendation', '5 days a week']"
80,Artificial Intelligence (AI),Buddha Education Association Incorporation,Work from home,,"₹ 15,000 /month","['Data Science', 'Data Structures', 'Python']","['Certificate', 'Letter of recommendation', '5 days a week']"
81,Data Science,Finsire Solutions Private Limited,Work from home,2 Months,"₹ 5,000 lump sum +  Incentives","['Data Analytics', 'Data Science', 'Data Structures']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
82,MIS Executive,Practical Eduskills,Pune,6 Months,"₹ 12,000-15,000 /month","['Advanced Excel', 'MS-Office']","['Certificate', 'Letter of recommendation', 'Job offer']"
83,Data Analytics,Onlighten Media,Work from home,2 Months,"₹ 2,000-3,000 /month","['Data Analytics', 'Data Science', 'MS-Excel', 'Power BI', 'Python', 'SQL', 'Tableau']","['Certificate', 'Letter of recommendation']"
84,Machine Learning,Gateway Software Solutions,"Chennai, Madurai, Coimbatore",6 Months,"₹ 3,000 /month +  Incentives",[],[]
85,Machine Learning (GenAI And LLMs),Growthpond Technology Private Limited,Bangalore,6 Months,"₹ 25,000-50,000 /month","['Machine Learning', 'Node.js', 'PostgreSQL']","['Certificate', 'Letter of recommendation', '5 days a week', 'Job offer']"
86,Business Analytics,Smollan India Private Limited,Work from home,3 Months,"₹ 8,000-10,000 /month","['Advanced Excel', 'CMS', 'Data Analytics', 'English Proficiency (Written)', 'MS-PowerPoint', 'SQL']","['Certificate', 'Flexible work hours', '5 days a week']"
87,Data Analytics,ChangeJar Technologies Private Limited,Bangalore,6 Months,"₹ 25,000 /month","['Data Analysis', 'Data Analytics', 'Python']",[]
88,Data Science,Quantasis Private Limited,Mumbai,6 Months,"₹ 8,000-12,000 /month","['Data Analytics', 'Data Science', 'Machine Learning', 'Python']","['Certificate', 'Flexible work hours', '5 days a week']"
89,Business Development/Data Research,Cloudzzure Technologies Private Limited,Noida,6 Months,"₹ 5,000 /month",['MS-Excel'],"['Certificate', 'Letter of recommendation', 'Informal dress code']"
90,Machine Learning,Avaari,"Kolkata, Pune, Bangalore, Hyderabad, Mumbai, Kochi, Jaipur, Andhra Pradesh, Karnataka, Amritsar, Chennai, Delhi, Ghaziabad, Gurgaon",2 Months,"₹ 25,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']","['Certificate', 'Letter of recommendation', '5 days a week']"
91,Artificial Intelligence (AI),Avaari,Work from home,,"₹ 15,000 /month","['Data Science', 'Data Structures', 'Python']","['Certificate', 'Letter of recommendation', '5 days a week']"
92,Machine Learning,Avaari,Work from home,2 Months,"₹ 15,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']","['Certificate', 'Letter of recommendation', '5 days a week']"
93,Data Science,Accredian,Work from home,6 Months,"₹ 15,000 /month","['Deep Learning', 'Machine Learning', 'Power BI', 'Python', 'R Programming', 'SQL', 'Video Editing', 'Video Making']","['Certificate', 'Job offer']"
94,Security Analyst,WiJungle - by HttpCart,Gurgaon,6 Months,"₹ 22,000-25,000 /month","['Computer Networking', 'Linux', 'Web Application Security']","['Certificate', 'Flexible work hours', 'Informal dress code']"
95,Business Analytics,Amit Parishkar,Jaipur,6 Months,"₹ 8,000 /month",['Sales'],['Certificate']
96,Data Science,MentorBoxx,Work from home,,"₹ 18,000 /month","['Data Analytics', 'Data Science', 'Python', 'SQL']","['Certificate', 'Letter of recommendation', '5 days a week']"
97,Business Analytics,SPACE For Early Childhood Education,Work from home,2 Months,Unpaid,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'Research and Analytics']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
98,Business Analytics,MentorBoxx,"Bhopalgarh, Ahmedabad, Chandigarh, Chennai, Delhi, Gurgaon, Indore, Kolkata, Pune, Bangalore, Hyderabad, Bhopal, Mumbai, Jaipur, Noida",,"₹ 18,000 /month","['Data Analytics', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","['Certificate', 'Letter of recommendation', '5 days a week']"
99,Data Analytics,XNETICS Technology Pvt Ltd,Work from home,3 Months,"₹ 5,000-8,000 /month","['Data Analytics', 'Data Science', 'Python']","['Certificate', 'Letter of recommendation', '5 days a week']"
100,Data Science,AskMeOffers,Work from home,4 Months,"₹ 40,000 /month","['Artificial Intelligence', 'Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
101,Data Analytics,Hunt Digital Media,Work from home,3 Months,"₹ 5,000 /month","['Data Analytics', 'Data Science', 'LARAVEL', 'MS-Excel', 'Power BI', 'Tableau']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
102,Analytics & Process Improvement,Clappia,Bangalore,6 Months,"₹ 25,000 /month","['Advanced Excel', 'Data Analytics', 'Google Analytics', 'MS-Excel', 'Power BI']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week']"
103,Algorithm Development,Reach Technologies,Work from home,3 Months,"₹ 10,000 /month",['Algorithms'],"['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
104,Data Analytics,Sunstone Education Technology Private Limited,Gurgaon,3 Months,"₹ 10,000 /month","['Data Analytics', 'MS-Excel', 'MS-PowerPoint']","['Certificate', 'Informal dress code']"
105,Big Data,Go Digital Technology Consulting,Mumbai,2 Months,"₹ 15,000 /month","['Python', 'SQL']","['Certificate', 'Letter of recommendation', '5 days a week']"
106,Data Analytics,GoMechanic,Mumbai,3 Months,"₹ 10,000-12,000 /month","['Data Analytics', 'MS-Excel', 'Power BI', 'Python', 'SQL', 'Tableau']","['Certificate', 'Letter of recommendation', 'Informal dress code']"
107,Power BI,INI8 Labs Private Limited,Bangalore,3 Months,"₹ 15,000 /month","['Power BI', 'Python', 'SQL']","['Certificate', '5 days a week']"
108,AI And LLM Development,GharChalo,Work from home,6 Months,"₹ 12,000 /month","['Machine Learning', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
109,Artificial Intelligence (AI),"Jis Mathew (Milton Keynes, United Kingdom)",Work from home,4 Months,"₹ 30,000 /month","['Data Science', 'Deep Learning', 'Python']",[]
110,RPA Development,NatWest Group,Gurgaon,6 Months,"₹ 45,000 /month","['Robotic Process Automation (RPA)', 'UiPath']","['Certificate', '5 days a week']"
111,Data Engineer - Web Scraping,Taiyō,Work from home,6 Months,"₹ 15,000 /month",['Python'],"['Certificate', 'Flexible work hours', '5 days a week', 'Job offer']"
112,Data Analysis Assignments,MyMegaminds,Work from home,2 Months,"₹ 6,500-7,000 /month",[],"['Certificate', 'Letter of recommendation', 'Flexible work hours']"
113,Data Analyst,Fusion Beauty,"Delhi, Faridabad",2 Months,"₹ 8,000-15,000 /month","['CSS', 'HTML', 'HTML&CSS', 'MS-Excel']","['Certificate', 'Letter of recommendation', 'Informal dress code']"
114,Python Development,NatWest Group,Gurgaon,6 Months,"₹ 45,000 /month","['Data Science', 'Machine Learning', 'Python']","['Certificate', '5 days a week']"
115,Machine Learning,AskMeOffers,Work from home,2 Months,"₹ 30,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
116,Data Science,AskMeOffers,Work from home,2 Months,"₹ 40,000 /month","['Artificial Intelligence', 'Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
117,Artificial Intelligence (AI),Hamsi Marketing Private Limited,Work from home,3 Months,"₹ 1,000 /month","['Artificial Intelligence', 'Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']"
118,Data Engineer,PlayTheory Labs,Work from home,4 Months,"₹ 5,000 /month","['Data Structures', 'Golang', 'Natural Language Processing (NLP)', 'Python', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
119,Subject Matter Expert (Computer Science),Grade Up Assignment,Work from home,2 Months,"₹ 10,000-20,000 /month","['.NET', 'Amazon Web Server (AWS)', 'Android', 'Arduino', 'C++ Programming', 'Cloud Computing', 'Computer Networking', 'C Programming', 'CSS', 'Data Analytics', 'Data Science', 'Data Structures', 'Git', 'GUI Testing', 'Java', 'JavaScript', 'MATLAB', 'Python', 'SQL', 'Web Application Security']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
120,Machine Learning,Fittlyf,Work from home,4 Months,"₹ 3,000 /month","['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
121,Survey Coordinator,Sahadya Consultants,"Delhi, Mumbai, Bangalore, Kolkata, Chennai",2 Months,"₹ 15,000 /month +  Incentives","['Effective Communication', 'Research and Analytics', 'Time Management']","['Certificate', 'Letter of recommendation']"
122,Artificial Neural Networks,Prodyogic Technologies Private Limited,Work from home,6 Months,Unpaid,"['Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
